gid,gnd_n,gnd_c,prov_c,dis_c,dsd_c,ghs_count,ghs_sum,ghs_mean
"787",Weligalla,"2106165","2","21","2106",602,1902,3.15946843853821
"789",Wewala North,"2106105","2","21","2106",1145,2045,1.78602620087336
"790",Adungama Palkumbura,"2103290","2","21","2103",194,1094,5.63917525773196
"797",Damunugasthenna,"2103095","2","21","2103",1023,2923,2.85728250244379
"803",Galabawa,"2103015","2","21","2103",650,650,1
"815",Hiyadala Walpola,"2103320","2","21","2103",694,694,1
"827",Kuragama North,"2103230","2","21","2103",458,458,1
"828",Marawanagoda,"2103285","2","21","2103",358,658,1.83798882681564
"841",Pallekotuwa,"2103315","2","21","2103",384,484,1.26041666666667
"842",Palukopi watta,"2103090","2","21","2103",783,1283,1.63856960408684
"843",Paranagama,"2103210","2","21","2103",863,963,1.11587485515643
"844",Pavulpawa,"2103220","2","21","2103",262,262,1
"27",Rambuke Ela,"2109005","2","21","2109",921,1721,1.8686210640608
"845",Pethigewela,"2103125","2","21","2103",683,683,1
"846",Poholiyadda,"2103305","2","21","2103",940,940,1
"848",Pubbiliya,"2103155","2","21","2103",346,346,1
"891",Madugalla Udagammedda,"2118270","2","21","2118",1290,1290,1
"849",Rokhill,"2103030","2","21","2103",268,268,1
"871",Halyala,"2118160","2","21","2118",617,1017,1.6482982171799
"857",Andideniya,"2118105","2","21","2118",736,936,1.27173913043478
"858",Bambarabedda East,"2118295","2","21","2118",818,1518,1.85574572127139
"859",Bambarabedda West,"2118300","2","21","2118",906,1206,1.33112582781457
"862",Devinnegama,"2118290","2","21","2118",1103,1403,1.27198549410698
"13560",Kotigamgoda,"1309005","1","13","1309",1880,10180,5.41489361702128
"13559",Koralaima,"1309050","1","13","1309",1670,14670,8.78443113772455
"864",Dewahandiya East,"2118255","2","21","2118",14777,14777,1
"870",Godakumbura,"2118190","2","21","2118",769,769,1
"11649",Suwapubudugama,"1112280","1","11","1112",547,7147,13.0658135283364
"1165",Pelawa Ihala Meda,"2136080","2","21","2136",557,557,1
"875",Hunnasgiriya,"2118150","2","21","2118",1844,4244,2.30151843817787
"12538",Yakambe,"1230395","1","12","1230",704,4904,6.96590909090909
"12285",Akaragama North,"1209115","1","12","1209",893,4493,5.03135498320269
"63",Wanahapuwa,"2148050","2","21","2148",503,1203,2.39165009940358
"7924",Kalukohuthenna,"9227155","9","92","9227",1660,2260,1.36144578313253
"13802",Yattovita,"1330035","1","13","1330",977,5777,5.91299897645855
"28",Rathukoho,"2109070","2","21","2109",663,863,1.30165912518854
"8482",Rathnapura Town North,"9112205","9","91","9112",610,24510,40.1803278688525
"13822",Langana,"1318040","1","13","1318",1118,1618,1.44722719141324
"926",Bowala,"2151030","2","21","2151",889,1189,1.33745781777278
"925",Bothalapitiya,"2151060","2","21","2151",152,7252,47.7105263157895
"882",Karambaketiya,"2118025","2","21","2118",9564,9564,1
"883",Karandagolla,"2118200","2","21","2118",398,398,1
"887",Kobonilla,"2118090","2","21","2118",4938,5138,1.04050222762252
"896",Minuwangamuwa,"2118240","2","21","2118",3286,3286,1
"927",Delpitiya,"2151190","2","21","2151",951,3451,3.62881177707676
"888",Kumbukgolla,"2118010","2","21","2118",10115,10115,1
"889",Madugalla North,"2118275","2","21","2118",469,469,1
"12540",Aluthgama Bogamuwa North,"1224095","1","12","1224",1477,31177,21.1083276912661
"890",Madugalla South,"2118280","2","21","2118",3131,3131,1
"892",Mahawala,"2118180","2","21","2118",11389,11389,1
"893",Mediwaka,"2118195","2","21","2118",1522,2022,1.32851511169514
"897",Moonamalpelessa,"2118035","2","21","2118",1554,1654,1.06435006435006
"894",Meemure,"2118005","2","21","2118",19088,19188,1.00523889354568
"895",Mendiriya,"2118165","2","21","2118",688,688,1
"1040",Meddegoda,"2139370","2","21","2139",178,878,4.93258426966292
"898",Nawanagala,"2118145","2","21","2118",1957,2257,1.15329586101175
"900",Nugethenna West,"2118225","2","21","2118",1639,1639,1
"12539",Akaravita,"1224045","1","12","1224",794,19694,24.8035264483627
"13842",Welikala,"1318020","1","13","1318",1449,5949,4.1055900621118
"901",Oyathenna,"2118120","2","21","2118",3558,4458,1.25295109612142
"902",Padupola,"2118050","2","21","2118",1874,1874,1
