gid,gnd_n,gnd_c,prov_c,dis_c,dsd_c,guf_count,guf_sum,guf_mean,Shape_Area
"3855",Diviyaudabendawewa,"7118040","7","71","7118",41863.000000000000000,177480.000000000000000,4.239543272101856,6293918.31
"3838",panthiyawa,"7142100","7","71","7142",25311.000000000000000,32130.000000000000000,1.269408557544151,3808938.68
"3839",Randenigama,"7142055","7","71","7142",33554.000000000000000,84660.000000000000000,2.523097097216427,5047558.26
"3844",Track 12,"7142020","7","71","7142",21555.000000000000000,17340.000000000000000,0.804453723034099,3244876.74
"3845",Track 13 - 18,"7142005","7","71","7142",31589.000000000000000,3825.000000000000000,0.121086454145430,4753962.70
"4031",Nidanwala,"7212185","7","72","7212",31463.000000000000000,119595.000000000000000,3.801131487779296,4739819.00
"3846",Track 15,"7142035","7","71","7142",58105.000000000000000,19125.000000000000000,0.329145512434386,8743498.13
"3849",Track 4,"7142060","7","71","7142",4536.000000000000000,0.000000000000000,0.000000000000000,682101.25
"3850",Track 7,"7142045","7","71","7142",28621.000000000000000,15045.000000000000000,0.525662974738828,4308066.63
"225",Dedunupitiya Ihalagama,"2134200","2","21","2134",7533.000000000000000,0.000000000000000,0.000000000000000,1135381.16
"3884",Siyambalagaswewa,"7118020","7","71","7118",29900.000000000000000,15045.000000000000000,0.503177257525084,4499433.45
"3851",Track 9 - 10,"7142025","7","71","7142",32677.000000000000000,45390.000000000000000,1.389050402423723,4914361.53
"3852",Veheragala,"7142015","7","71","7142",60771.000000000000000,257805.000000000000000,4.242237251320531,9142513.80
"226",Dedunupitiya Pahalagama,"2134075","2","21","2134",5530.000000000000000,14535.000000000000000,2.628390596745027,833461.22
"3854",Balahondawewa,"7118055","7","71","7118",54827.000000000000000,13515.000000000000000,0.246502635562770,8242687.09
"3856",Galkandegama,"7118050","7","71","7118",36216.000000000000000,35445.000000000000000,0.978711066931743,5443434.78
"3857",Galweeragollewa,"7118065","7","71","7118",70549.000000000000000,21165.000000000000000,0.300004252363605,10600578.59
"3858",Gonewa,"7118105","7","71","7118",74729.000000000000000,32385.000000000000000,0.433365895435507,11236390.76
"3859",Ihala Kolongaswewa,"7118085","7","71","7118",60118.000000000000000,3825.000000000000000,0.063624871086863,9038708.36
"3882",Sandamalgama,"7118145","7","71","7118",16591.000000000000000,79305.000000000000000,4.780001205472847,2494139.19
"3861",Kadurugasdamana,"7118015","7","71","7118",131016.000000000000000,25755.000000000000000,0.196579043780912,19695911.65
"228",Dunkumbura,"2134050","2","21","2134",5492.000000000000000,13005.000000000000000,2.367989803350328,828479.57
"3863",Kapiriggama,"7118165","7","71","7118",61459.000000000000000,4845.000000000000000,0.078833043166989,9240355.36
"3864",Katukeliyawa,"7118025","7","71","7118",25404.000000000000000,9690.000000000000000,0.381435994331601,3819655.30
"3865",Katupuliyankulama,"7118140","7","71","7118",43483.000000000000000,117045.000000000000000,2.691741600165582,6538940.47
"3866",Kedewa,"7118095","7","71","7118",70389.000000000000000,10200.000000000000000,0.144909005668499,10581472.30
"3867",Kolibendawewa,"7118005","7","71","7118",114812.000000000000000,205785.000000000000000,1.792364909591332,17261906.46
"4726",Bakunawala,"6139105","6","61","6139",17356.000000000000000,2550.000000000000000,0.146923254206038,2613223.09
"229",Eramuduliyadda,"2134135","2","21","2134",7784.000000000000000,7140.000000000000000,0.917266187050360,1173838.17
"4019",Kudawewa,"7212020","7","72","7212",43160.000000000000000,107355.000000000000000,2.487372567191844,6499940.34
"3869",Kudagama,"7118185","7","71","7118",92956.000000000000000,1275.000000000000000,0.013716166788588,13980395.70
"3870",Mahakanadarawa R.B. Track 1,"7118190","7","71","7118",49403.000000000000000,56355.000000000000000,1.140720199178187,7428246.11
"3871",Mahakanadarawa R.B. Track 2,"7118160","7","71","7118",28440.000000000000000,43350.000000000000000,1.524261603375527,4276319.23
"4022",Mahaulpatha,"7212085","7","72","7212",40234.000000000000000,19125.000000000000000,0.475344236218124,6055130.08
"3872",Mahawewa,"7118130","7","71","7118",49733.000000000000000,44370.000000000000000,0.892164156596224,7480124.27
"3873",Medagama,"7118010","7","71","7118",76237.000000000000000,73950.000000000000000,0.970001442868948,11464479.42
"13920",Malamulla West,"1303160","1","13","1303",10318.000000000000000,661470.000000000000000,64.108354332234924,1557974.61
"4025",Manampitiya East,"7212010","7","72","7212",73903.000000000000000,652800.000000000000000,8.833200276037509,11129489.25
"230",Galdola,"2134030","2","21","2134",4342.000000000000000,0.000000000000000,0.000000000000000,654687.19
"234",Ilpemada,"2134040","2","21","2134",10271.000000000000000,0.000000000000000,0.000000000000000,1549648.50
"3984",Puliyankulama,"7151050","7","71","7151",38431.000000000000000,101745.000000000000000,2.647472092841716,5781287.02
"3874",Meemalwewa,"7118175","7","71","7118",79078.000000000000000,17595.000000000000000,0.222501833632616,11892535.02
"3875",Nabadagaswewa,"7118155","7","71","7118",46831.000000000000000,155295.000000000000000,3.316072686895433,7041157.67
"13921",Miriyawatta,"1303070","1","13","1303",1804.000000000000000,186915.000000000000000,103.611419068736140,272153.65
"3876",Pallankulama,"7118125","7","71","7118",70427.000000000000000,81090.000000000000000,1.151405000922942,10587280.57
"3877",Pandukabhayapura,"7118135","7","71","7118",7732.000000000000000,0.000000000000000,0.000000000000000,1162307.06
"3878",Peenagama,"7118170","7","71","7118",45079.000000000000000,13260.000000000000000,0.294150269526831,6777054.46
"3879",Pihimbiyagollewa,"7118060","7","71","7118",62316.000000000000000,79560.000000000000000,1.276718659734258,9370660.05
"3880",Rambewa,"7118150","7","71","7118",20555.000000000000000,279225.000000000000000,13.584286061785454,3091736.23
"3881",Rotawewa,"7118180","7","71","7118",40540.000000000000000,109650.000000000000000,2.704736063147509,6094124.05
"3885",Talgahawewa,"7118045","7","71","7118",70929.000000000000000,190230.000000000000000,2.681977752400288,10663389.78
"231",Godathale,"2134065","2","21","2134",14171.000000000000000,6120.000000000000000,0.431867899230824,2137136.77
"3886",Thamarahamillewa,"7118075","7","71","7118",39457.000000000000000,7905.000000000000000,0.200344679017665,5931982.69
"3891",Adhiranigama,"7148150","7","71","7148",27992.000000000000000,44370.000000000000000,1.585095741640469,4209628.19
"4033",Pahala Ellewewa,"7212135","7","72","7212",43373.000000000000000,14280.000000000000000,0.329237082977889,6532764.39
"3887",Wahamalgollewa,"7118115","7","71","7118",39542.000000000000000,111945.000000000000000,2.831040412725709,5942453.99
"3890",Wewelketiya,"7118080","7","71","7118",66235.000000000000000,88740.000000000000000,1.339775043406054,9959108.78
"3832",4 1/2 Kanuwa,"7142090","7","71","7142",49554.000000000000000,14535.000000000000000,0.293316382128587,7455766.38
"3897",Galwaduwagama,"7148140","7","71","7148",28155.000000000000000,15045.000000000000000,0.534363345764518,4236362.58
"4037",Pimburattewa East,"7212195","7","72","7212",46656.000000000000000,40545.000000000000000,0.869020061728395,7025942.18
"3892",Daladapura,"7148005","7","71","7148",40123.000000000000000,7140.000000000000000,0.177952795154899,6035853.68
"3893",Eliyadivulwewa,"7148090","7","71","7148",25403.000000000000000,255.000000000000000,0.010038184466402,3823310.95
"3894",Endagala,"7148170","7","71","7148",33296.000000000000000,2550.000000000000000,0.076585776069198,5009655.36
"3895",Eppawala,"7148100","7","71","7148",29207.000000000000000,201450.000000000000000,6.897319135823604,4396421.95
"3896",Galmaduwa,"7148180","7","71","7148",23643.000000000000000,0.000000000000000,0.000000000000000,3558020.35
"3898",Hinguruwewa,"7148045","7","71","7148",43824.000000000000000,0.000000000000000,0.000000000000000,6593775.26
"4041",Sandagalathenna,"7212225","7","72","7212",61544.000000000000000,14025.000000000000000,0.227885740283374,9269511.34
"13922",Molligoda,"1303350","1","13","1303",3818.000000000000000,516375.000000000000000,135.247511786275538,576875.63
"3899",Hirigollegama,"7148030","7","71","7148",29731.000000000000000,58140.000000000000000,1.955534627156840,4474050.41
"3900",Ihala Halmillewa,"7148145","7","71","7148",35343.000000000000000,52785.000000000000000,1.493506493506493,5319580.37
"3901",Ihala Siyambalewa,"7148095","7","71","7148",22456.000000000000000,23460.000000000000000,1.044709654435340,3378839.05
"3902",Ihala Thalawa,"7148040","7","71","7148",33484.000000000000000,130815.000000000000000,3.906791303309043,5037637.24
"3903",Ihalagama,"7148185","7","71","7148",13222.000000000000000,0.000000000000000,0.000000000000000,1991238.59
"3905",Kadurugaswewa,"7148070","7","71","7148",83361.000000000000000,13770.000000000000000,0.165185158527369,12542605.54
"3906",Karagahawewa,"7148035","7","71","7148",68711.000000000000000,43350.000000000000000,0.630903348808779,10333853.16
"3910",Katiyawa Track 09,"7148160","7","71","7148",49140.000000000000000,29580.000000000000000,0.601953601953602,7394774.76
"3911",Katiyawa Track 10,"7148155","7","71","7148",32246.000000000000000,19890.000000000000000,0.616820690938411,4853889.93
"3907",Katiyawa Track 01,"7148165","7","71","7148",56330.000000000000000,4590.000000000000000,0.081484111485887,8475058.42
"3909",Katiyawa Track 06,"7148195","7","71","7148",39000.000000000000000,57885.000000000000000,1.484230769230769,5870752.20
"3926",Nawa Hanguranketha,"7148025","7","71","7148",12382.000000000000000,17850.000000000000000,1.441608786948797,1864098.25
"3917",Korakahawewa,"7148050","7","71","7148",9465.000000000000000,0.000000000000000,0.000000000000000,1424247.76
"3912",Keledivulwewa,"7148190","7","71","7148",20605.000000000000000,0.000000000000000,0.000000000000000,3101065.54
"3913",Kelesiyambalewa,"7148175","7","71","7148",25082.000000000000000,6375.000000000000000,0.254166334423092,3775100.49
"3914",Ketakale,"7148080","7","71","7148",22976.000000000000000,6375.000000000000000,0.277463440111421,3457792.47
"3915",Kiralogama,"7148065","7","71","7148",40457.000000000000000,54825.000000000000000,1.355142496972094,6085209.22
"3916",Kiriamunukole,"7148120","7","71","7148",26209.000000000000000,21930.000000000000000,0.836735472547598,3940882.79
"3918",Kumbukgahawewa,"7148020","7","71","7148",51589.000000000000000,0.000000000000000,0.000000000000000,7758509.73
"3919",Kurunduwewa,"7148055","7","71","7148",49604.000000000000000,74970.000000000000000,1.511370050802355,7462102.58
"232",Handabowa,"2134165","2","21","2134",3164.000000000000000,0.000000000000000,0.000000000000000,477825.04
"4018",Kekulawela,"7212250","7","72","7212",10369.000000000000000,0.000000000000000,0.000000000000000,1563609.16
"3920",Mawathawewa,"7148105","7","71","7148",81993.000000000000000,30345.000000000000000,0.370092568877831,12336750.61
"4021",Mahadamana,"7212170","7","72","7212",34288.000000000000000,20145.000000000000000,0.587523331777882,5163419.89
"3921",Medagama,"7148115","7","71","7148",32848.000000000000000,24480.000000000000000,0.745250852411106,4939597.56
"3922",Mediyawa,"7148130","7","71","7148",19040.000000000000000,5865.000000000000000,0.308035714285714,2864771.76
"233",Hatharaliyadda,"2134100","2","21","2134",8825.000000000000000,83385.000000000000000,9.448725212464590,1329932.10
"3923",Meegassegama,"7148060","7","71","7148",39008.000000000000000,21930.000000000000000,0.562192370795734,5869912.66
"235",Imbulethenna,"2134115","2","21","2134",2353.000000000000000,0.000000000000000,0.000000000000000,353825.45
